TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;ID_DOC;TP_APLIC;VL_VENDA_NEGOC;VL_AQUIS_NEGOC;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC
CLASSES - FIDC;27.944.627/0001-57;RESQ II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NP;2025-08-31;982399;Valores a pagar;;;214061;;2025-11-29
CLASSES - FIDC;27.944.627/0001-57;RESQ II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NP;2025-08-31;982399;Valores a receber;;;36223;;2025-11-29
CLASSES - FIDC;28.079.865/0001-04;XPLORER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-08-31;981852;Cotas de Fundos;0;0;29426391;;2025-11-29
CLASSES - FIDC;28.079.865/0001-04;XPLORER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-08-31;981852;Valores a pagar;;;13117;;2025-11-29
CLASSES - FIDC;28.079.865/0001-04;XPLORER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-08-31;981852;Valores a receber;;;11524;;2025-11-29
CLASSES - FIDC;28.819.664/0001-04;TREVYS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-08-31;981851;Cotas de Fundos;0;0;13582464;;2025-11-29
CLASSES - FIDC;28.819.664/0001-04;TREVYS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-08-31;981851;Valores a pagar;;;6225;;2025-11-29
CLASSES - FIDC;28.819.664/0001-04;TREVYS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-08-31;981851;Valores a receber;;;8469;;2025-11-29
CLASSES - FIDC;29.010.886/0001-36;GUARDIANS FIC DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-08-31;992607;Cotas de Fundos;0;14089;33107489;;2025-11-29
CLASSES - FIDC;29.010.886/0001-36;GUARDIANS FIC DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-08-31;992607;Disponibilidades;;;45306;;2025-11-29
CLASSES - FIDC;29.010.886/0001-36;GUARDIANS FIC DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-08-31;992607;Títulos Públicos;0;0;11959;;2025-11-29
CLASSES - FIDC;29.010.886/0001-36;GUARDIANS FIC DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-08-31;992607;Valores a pagar;;;117133;;2025-11-29
CLASSES - FIDC;29.010.886/0001-36;GUARDIANS FIC DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-08-31;992607;Valores a receber;;;5196;;2025-11-29
