TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;ID_DOC;TP_APLIC;VL_VENDA_NEGOC;VL_AQUIS_NEGOC;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC
CLASSES FIIM;38.314.708/0001-90;HASHDEX NASDAQ CRYPTO INDEX FUNDO DE INDICE;2025-09-30;1008973;Valores a pagar;;;1039438;;2025-12-29
CLASSES FIIM;38.314.708/0001-90;HASHDEX NASDAQ CRYPTO INDEX FUNDO DE INDICE;2025-09-30;1008973;Valores a receber;;;22204;;2025-12-29
CLASSES FIIM;38.350.645/0001-27;SAFRA ETF IBOVESPA FUNDO DE INDICE - RESPONSABILIDADE LIMITADA;2025-09-30;1013068;Ações;0;0;14678760;;2025-12-29
CLASSES FIIM;38.350.645/0001-27;SAFRA ETF IBOVESPA FUNDO DE INDICE - RESPONSABILIDADE LIMITADA;2025-09-30;1013068;Ações e outros TVM cedidos em empréstimo;;;11627289;;2025-12-29
CLASSES FIIM;38.350.645/0001-27;SAFRA ETF IBOVESPA FUNDO DE INDICE - RESPONSABILIDADE LIMITADA;2025-09-30;1013068;Certificado ou recibo de depósito de valores mobiliários;0;0;583418;;2025-12-29
CLASSES FIIM;38.350.645/0001-27;SAFRA ETF IBOVESPA FUNDO DE INDICE - RESPONSABILIDADE LIMITADA;2025-09-30;1013068;Mercado Futuro - Posições compradas;0;0;-6768;;2025-12-29
CLASSES FIIM;38.350.645/0001-27;SAFRA ETF IBOVESPA FUNDO DE INDICE - RESPONSABILIDADE LIMITADA;2025-09-30;1013068;Operações Compromissadas;;;6814983;;2025-12-29
CLASSES FIIM;40.755.515/0001-16;HASHDEX DEFI INDEX FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;2025-09-30;1008971;Disponibilidades;;;16590;;2025-12-29
CLASSES FIIM;40.755.515/0001-16;HASHDEX DEFI INDEX FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;2025-09-30;1008971;Investimento no Exterior;2911393;0;64451502;;2025-12-29
CLASSES FIIM;40.755.515/0001-16;HASHDEX DEFI INDEX FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;2025-09-30;1008971;Operações Compromissadas;;;34768;;2025-12-29
CLASSES FIIM;40.755.515/0001-16;HASHDEX DEFI INDEX FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;2025-09-30;1008971;Valores a pagar;;;20557;;2025-12-29
CLASSES FIIM;40.755.515/0001-16;HASHDEX DEFI INDEX FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;2025-09-30;1008971;Valores a receber;;;5033;;2025-12-29
CLASSES FIIM;41.256.573/0001-68;HASHDEX NASDAQ BITCOIN REFERENCE PRICE FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-09-30;1008972;Disponibilidades;;;40030;;2025-12-29
CLASSES FIIM;41.256.573/0001-68;HASHDEX NASDAQ BITCOIN REFERENCE PRICE FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-09-30;1008972;Investimento no Exterior;17388900;0;1851896115;;2025-12-29
CLASSES FIIM;41.256.573/0001-68;HASHDEX NASDAQ BITCOIN REFERENCE PRICE FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-09-30;1008972;Operações Compromissadas;;;366080;;2025-12-29
CLASSES FIIM;41.256.573/0001-68;HASHDEX NASDAQ BITCOIN REFERENCE PRICE FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-09-30;1008972;Valores a pagar;;;359895;;2025-12-29
CLASSES FIIM;41.256.573/0001-68;HASHDEX NASDAQ BITCOIN REFERENCE PRICE FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-09-30;1008972;Valores a receber;;;22204;;2025-12-29
