TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;ID_DOC;TP_APLIC;VL_VENDA_NEGOC;VL_AQUIS_NEGOC;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC
CLASSES - FIDC;61.385.893/0001-25;FUNDO DE INVESTIMENTO EM COTAS DE FIDC SÊNIOR EXODUS INSTITUCIONAL - RESPONSABILIDADE LIMITADA;2025-10-31;1032550;Cotas de Fundos;0;0;132592238;;2026-01-29
CLASSES - FIDC;61.385.893/0001-25;FUNDO DE INVESTIMENTO EM COTAS DE FIDC SÊNIOR EXODUS INSTITUCIONAL - RESPONSABILIDADE LIMITADA;2025-10-31;1032550;Valores a pagar;;;67764;;2026-01-29
CLASSES - FIDC;61.385.893/0001-25;FUNDO DE INVESTIMENTO EM COTAS DE FIDC SÊNIOR EXODUS INSTITUCIONAL - RESPONSABILIDADE LIMITADA;2025-10-31;1032550;Valores a receber;;;423005;;2026-01-29
CLASSES - FIDC;61.653.345/0001-39;ARTESANAL BB I FI EM COTAS DE FI EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-10-31;1036331;Cotas de Fundos;;;154466695;;2026-01-29
CLASSES - FIDC;61.653.345/0001-39;ARTESANAL BB I FI EM COTAS DE FI EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-10-31;1036331;Disponibilidades;;;1000;;2026-01-29
CLASSES - FIDC;61.653.345/0001-39;ARTESANAL BB I FI EM COTAS DE FI EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-10-31;1036331;Valores a pagar;;;247322;;2026-01-29
CLASSES - FIDC;61.653.345/0001-39;ARTESANAL BB I FI EM COTAS DE FI EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-10-31;1036331;Valores a receber;;;125;;2026-01-29
CLASSES - FIDC;62.410.525/0001-52;ILLASI FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-10-31;1029584;Cotas de Fundos;;;83957030;;2026-01-29
CLASSES - FIDC;62.410.525/0001-52;ILLASI FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-10-31;1029584;Disponibilidades;;;16242;;2026-01-29
CLASSES - FIDC;62.410.525/0001-52;ILLASI FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-10-31;1029584;Valores a pagar;;;15722;;2026-01-29
CLASSES - FIDC;62.410.525/0001-52;ILLASI FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-10-31;1029584;Valores a receber;;;0;;2026-01-29
CLASSES FIIM;38.314.708/0001-90;HASHDEX NASDAQ CRYPTO INDEX FUNDO DE INDICE;2025-10-31;1028071;Disponibilidades;;;13281;;2026-01-29
CLASSES FIIM;38.314.708/0001-90;HASHDEX NASDAQ CRYPTO INDEX FUNDO DE INDICE;2025-10-31;1028071;Investimento no Exterior;97832217;0;3795628484;;2026-01-29
CLASSES FIIM;38.314.708/0001-90;HASHDEX NASDAQ CRYPTO INDEX FUNDO DE INDICE;2025-10-31;1028071;Operações Compromissadas;;;11029472;;2026-01-29
CLASSES FIIM;38.314.708/0001-90;HASHDEX NASDAQ CRYPTO INDEX FUNDO DE INDICE;2025-10-31;1028071;Valores a pagar;;;20286490;;2026-01-29
CLASSES FIIM;38.314.708/0001-90;HASHDEX NASDAQ CRYPTO INDEX FUNDO DE INDICE;2025-10-31;1028071;Valores a receber;;;1789789;;2026-01-29
CLASSES FIIM;38.350.645/0001-27;SAFRA ETF IBOVESPA FUNDO DE INDICE - RESPONSABILIDADE LIMITADA;2025-10-31;1036966;Ações;0;0;17294087;;2026-01-29
CLASSES FIIM;38.350.645/0001-27;SAFRA ETF IBOVESPA FUNDO DE INDICE - RESPONSABILIDADE LIMITADA;2025-10-31;1036966;Ações e outros TVM cedidos em empréstimo;;;9606740;;2026-01-29
CLASSES FIIM;38.350.645/0001-27;SAFRA ETF IBOVESPA FUNDO DE INDICE - RESPONSABILIDADE LIMITADA;2025-10-31;1036966;Certificado ou recibo de depósito de valores mobiliários;0;0;629120;;2026-01-29
CLASSES FIIM;38.350.645/0001-27;SAFRA ETF IBOVESPA FUNDO DE INDICE - RESPONSABILIDADE LIMITADA;2025-10-31;1036966;Mercado Futuro - Posições compradas;0;0;35424;;2026-01-29
CLASSES FIIM;38.350.645/0001-27;SAFRA ETF IBOVESPA FUNDO DE INDICE - RESPONSABILIDADE LIMITADA;2025-10-31;1036966;Mercado Futuro - Posições vendidas;0;0;-591;;2026-01-29
CLASSES FIIM;38.350.645/0001-27;SAFRA ETF IBOVESPA FUNDO DE INDICE - RESPONSABILIDADE LIMITADA;2025-10-31;1036966;Operações Compromissadas;;;6918478;;2026-01-29
CLASSES FIIM;40.755.515/0001-16;HASHDEX DEFI INDEX FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;2025-10-31;1028069;Disponibilidades;;;20016;;2026-01-29
CLASSES FIIM;40.755.515/0001-16;HASHDEX DEFI INDEX FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;2025-10-31;1028069;Investimento no Exterior;9666797;0;60377367;;2026-01-29
CLASSES FIIM;40.755.515/0001-16;HASHDEX DEFI INDEX FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;2025-10-31;1028069;Operações Compromissadas;;;53010;;2026-01-29
